"export-plots data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:27:25:493 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","150","1100","1","30","4","1","90","""Wetter Future""","200","0.03","200","8","2","30","200","25","8","1350","200","42","1","30","0.03"

"""Ag Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-90000","176000","true","""Corn""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"
"""US$0""","true","2","1","13","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true","0","0","13","true"
"1","2421.000000000029","42.5","true","1","-2876","24","true","1","63024.00000000003","53","true","1","-33681.999999999985","32","true","1","0","13","true"
"2","-6607.5","42.5","true","2","-42692","24","true","2","64716","53","true","2","-28853.999999999985","32","true","2","0","13","true"
"3","35018.999999999985","42.5","true","3","-37869.999999999985","24","true","3","113348","53","true","3","-22733.999999999985","32","true","3","0","13","true"
"4","17711.999999999985","42.5","true","4","-14144","24","true","4","108048","53","true","4","-26949.999999999985","32","true","4","0","13","true"
"5","59471.999999999985","42.5","true","5","-4457.999999999985","24","true","5","156228","53","true","5","19266.000000000015","32","true","5","0","13","true"
"6","20131.499999999985","42.5","true","6","-10494","24","true","6","123208","53","true","6","-2241.9999999999854","32","true","6","0","13","true"
"7","-567.0000000000291","42.5","true","7","-13846","24","true","7","75144","53","true","7","-12097.999999999985","32","true","7","0","13","true"
"8","-247.4999999999709","42.5","true","8","-38652","24","true","8","52888","53","true","8","-27917.999999999985","32","true","8","0","13","true"
"9","-17372.99999999997","42.5","true","9","-65592","24","true","9","68040","53","true","9","-49201.999999999985","32","true","9","0","13","true"
"10","-19496.999999999985","42.5","true","10","-49516","24","true","10","64848","53","true","10","-24797.99999999997","32","true","10","0","13","true"
"11","2421.000000000029","42.5","true","11","-1489.9999999999854","24","true","11","63024.00000000003","53","true","11","-34157.999999999985","32","true","11","0","13","true"
"12","-247.4999999999709","42.5","true","12","-48702","24","true","12","52888","53","true","12","-40817.999999999985","32","true","12","0","13","true"
"13","-247.4999999999709","42.5","true","13","-61752","24","true","13","52888","53","true","13","-27917.999999999985","32","true","13","0","13","true"
"14","-567.0000000000291","42.5","true","14","8432.000000000015","24","true","14","75144","53","true","14","-7257.999999999985","32","true","14","0","13","true"
"15","-19496.999999999985","42.5","true","15","-33680.000000000015","24","true","15","64848","53","true","15","-24797.99999999997","32","true","15","0","13","true"
"16","-247.4999999999709","42.5","true","16","-61752","24","true","16","52888","53","true","16","-29465.999999999985","32","true","16","0","13","true"
"17","-17372.99999999997","42.5","true","17","-25985.999999999985","24","true","17","68040","53","true","17","-49201.999999999985","32","true","17","0","13","true"
"18","-247.4999999999709","42.5","true","18","-32652","24","true","18","52888","53","true","18","21618.000000000015","32","true","18","0","13","true"
"19","-247.4999999999709","42.5","true","19","-61752","24","true","19","52888","53","true","19","-570","32","true","19","0","13","true"
"20","2421.000000000029","42.5","true","20","-1489.9999999999854","24","true","20","63024.00000000003","53","true","20","-34157.999999999985","32","true","20","0","13","true"
"21","2421.000000000029","42.5","true","21","-2106","24","true","21","63024.00000000003","53","true","21","34148.000000000015","32","true","21","0","13","true"
"22","-247.4999999999709","42.5","true","22","-48702","24","true","22","52888","53","true","22","46128.000000000015","32","true","22","0","13","true"
"23","-247.4999999999709","42.5","true","23","-38652","24","true","23","52888","53","true","23","21618.000000000015","32","true","23","0","13","true"
"24","-567.0000000000291","42.5","true","24","8432.000000000015","24","true","24","75144","53","true","24","-45009.99999999998","32","true","24","0","13","true"
"25","-19496.999999999985","42.5","true","25","-49516","24","true","25","64848","53","true","25","-24261.999999999985","32","true","25","0","13","true"
"26","-247.4999999999709","42.5","true","26","2448","24","true","26","52888","53","true","26","21618.000000000015","32","true","26","0","13","true"
"27","2421.000000000029","42.5","true","27","-35986","24","true","27","63024.00000000003","53","true","27","-46057.99999999998","32","true","27","0","13","true"
"28","-17372.99999999997","42.5","true","28","-38820","24","true","28","68040","53","true","28","-13945.999999999985","32","true","28","0","13","true"
"29","-247.4999999999709","42.5","true","29","-5652","24","true","29","52888","53","true","29","-27401.999999999985","32","true","29","0","13","true"
"30","-247.4999999999709","42.5","true","30","-5652","24","true","30","52888","53","true","30","-27917.999999999985","32","true","30","0","13","true"
"31","-247.4999999999709","42.5","true","31","2448","24","true","31","52888","53","true","31","-29465.999999999985","32","true","31","0","13","true"
"32","2421.000000000029","42.5","true","32","-36756","24","true","32","63024.00000000003","53","true","32","34148.000000000015","32","true","32","0","13","true"
"33","2421.000000000029","42.5","true","33","-2106","24","true","33","63024.00000000003","53","true","33","-35585.999999999985","32","true","33","0","13","true"
"34","-567.0000000000291","42.5","true","34","690","24","true","34","75144","53","true","34","-7257.999999999985","32","true","34","0","13","true"
"35","-247.4999999999709","42.5","true","35","-61752","24","true","35","52888","53","true","35","-27917.999999999985","32","true","35","0","13","true"
"36","-247.4999999999709","42.5","true","36","-18702","24","true","36","52888","53","true","36","-40817.999999999985","32","true","36","0","13","true"
"37","-19496.999999999985","42.5","true","37","-19916","24","true","37","64848","53","true","37","-38197.99999999997","32","true","37","0","13","true"
"38","-247.4999999999709","42.5","true","38","2448","24","true","38","52888","53","true","38","-570","32","true","38","0","13","true"
"39","-17372.99999999997","42.5","true","39","-13980","24","true","39","68040","53","true","39","-18465.999999999985","32","true","39","0","13","true"
"40","-247.4999999999709","42.5","true","40","-18702","24","true","40","52888","53","true","40","21618.000000000015","32","true","40","0","13","true"
"41","-17372.99999999997","42.5","true","41","-13980","24","true","41","68040","53","true","41","26960.000000000015","32","true","41","0","13","true"
"42","-247.4999999999709","42.5","true","42","-37902","24","true","42","52888","53","true","42","-5730","32","true","42","0","13","true"
"43","-247.4999999999709","42.5","true","43","-61752","24","true","43","52888","53","true","43","-570","32","true","43","0","13","true"
"44","-247.4999999999709","42.5","true","44","-18702","24","true","44","52888","53","true","44","-27917.999999999985","32","true","44","0","13","true"
"45","-19496.999999999985","42.5","true","45","-38860","24","true","45","64848","53","true","45","3610.0000000000146","32","true","45","0","13","true"
"46","-247.4999999999709","42.5","true","46","-5652","24","true","46","52888","53","true","46","-27401.999999999985","32","true","46","0","13","true"
"47","2421.000000000029","42.5","true","47","-60472","24","true","47","63024.00000000003","53","true","47","34148.000000000015","32","true","47","0","13","true"
"48","2421.000000000029","42.5","true","48","-30596","24","true","48","63024.00000000003","53","true","48","-13689.999999999985","32","true","48","0","13","true"
"49","-247.4999999999709","42.5","true","49","-18702","24","true","49","52888","53","true","49","21618.000000000015","32","true","49","0","13","true"
"50","-567.0000000000291","42.5","true","50","-100","24","true","50","75144","53","true","50","13554.000000000015","32","true","50","0","13","true"
"51","-247.4999999999709","42.5","true","51","-4302","24","true","51","52888","53","true","51","-27917.999999999985","32","true","51","0","13","true"
"52","-19496.999999999985","42.5","true","52","-39600","24","true","52","64848","53","true","52","-24261.999999999985","32","true","52","0","13","true"
"53","-567.0000000000291","42.5","true","53","-100","24","true","53","75144","53","true","53","36544.000000000044","32","true","53","0","13","true"
"54","-247.4999999999709","42.5","true","54","2448","24","true","54","52888","53","true","54","-40817.999999999985","32","true","54","0","13","true"
"55","-247.4999999999709","42.5","true","55","-32652","24","true","55","52888","53","true","55","-27401.999999999985","32","true","55","0","13","true"
"56","-247.4999999999709","42.5","true","56","-5652","24","true","56","52888","53","true","56","-5730","32","true","56","0","13","true"
"57","2421.000000000029","42.5","true","57","-60472","24","true","57","63024.00000000003","53","true","57","-34157.999999999985","32","true","57","0","13","true"
"58","-17372.99999999997","42.5","true","58","-13290","24","true","58","68040","53","true","58","-37901.999999999985","32","true","58","0","13","true"
"59","-247.4999999999709","42.5","true","59","-4902","24","true","59","52888","53","true","59","-27401.999999999985","32","true","59","0","13","true"
"60","2421.000000000029","42.5","true","60","-36756","24","true","60","63024.00000000003","53","true","60","-34157.999999999985","32","true","60","0","13","true"
"61","2421.000000000029","42.5","true","61","-35986","24","true","61","63024.00000000003","53","true","61","11538.000000000015","32","true","61","0","13","true"
"62","-247.4999999999709","42.5","true","62","-37902","24","true","62","52888","53","true","62","-27917.999999999985","32","true","62","0","13","true"
"63","-567.0000000000291","42.5","true","63","1322","24","true","63","75144","53","true","63","-12097.999999999985","32","true","63","0","13","true"
"64","-19496.999999999985","42.5","true","64","952","24","true","64","64848","53","true","64","-24261.999999999985","32","true","64","0","13","true"
"65","-247.4999999999709","42.5","true","65","-37902","24","true","65","52888","53","true","65","46128.000000000015","32","true","65","0","13","true"
"66","-247.4999999999709","42.5","true","66","-61752","24","true","66","52888","53","true","66","-27917.999999999985","32","true","66","0","13","true"
"67","-247.4999999999709","42.5","true","67","-37902","24","true","67","52888","53","true","67","-27917.999999999985","32","true","67","0","13","true"
"68","-247.4999999999709","42.5","true","68","-18702","24","true","68","52888","53","true","68","-5730","32","true","68","0","13","true"
"69","2421.000000000029","42.5","true","69","-2106","24","true","69","63024.00000000003","53","true","69","-33681.999999999985","32","true","69","0","13","true"
"70","24214.34999999999","42.5","true","70","-2528.480000000003","24","true","70","64071.98","53","true","70","5214","32","true","70","0","13","true"
"71","20830.800000000017","42.5","true","71","4116.599999999991","24","true","71","53423.72000000001","53","true","71","23870","32","true","71","0","13","true"
"72","26955.449999999983","42.5","true","72","12650.000000000007","24","true","72","40702.92000000002","53","true","72","12210","32","true","72","0","13","true"
"73","23479.199999999983","42.5","true","73","11696.000000000007","24","true","73","30054.66000000001","53","true","73","91998","32","true","73","0","13","true"
"74","21085.199999999983","42.5","true","74","6530.360000000008","24","true","74","23741.16000000001","53","true","74","5381.999999999993","32","true","74","0","13","true"
"75","16434","42.5","true","75","12226.000000000007","24","true","75","9678.360000000008","53","true","75","13518","32","true","75","0","13","true"
"76","16434","42.5","true","76","-11623.999999999993","24","true","76","-838.439999999995","53","true","76","91998","32","true","76","0","13","true"
"77","24759.300000000003","42.5","true","77","-10585.999999999985","24","true","77","-9916.919999999991","53","true","77","22300.000000000007","32","true","77","0","13","true"
"78","15860.099999999999","42.5","true","78","2896.0000000000073","24","true","78","-21485.399999999994","53","true","78","15000.000000000007","32","true","78","0","13","true"
"79","5856","42.5","true","79","-5445.0799999999945","24","true","79","-25691.999999999993","53","true","79","19612.000000000007","32","true","79","0","13","true"
"80","16434","42.5","true","80","-11093.999999999993","24","true","80","-23411.999999999993","53","true","80","32266","32","true","80","0","13","true"
"81","16434","42.5","true","81","12650.000000000007","24","true","81","-23411.999999999993","53","true","81","32266","32","true","81","0","13","true"
"82","16434","42.5","true","82","-18725.999999999993","24","true","82","-23411.999999999993","53","true","82","36625.999999999985","32","true","82","0","13","true"
"83","6914.550000000003","42.5","true","83","25576.000000000007","24","true","83","-31870.73999999999","53","true","83","-10243.819999999992","32","true","83","0","13","true"
"84","10572","42.5","true","84","442.0000000000073","24","true","84","-28719.999999999993","53","true","84","39006","32","true","84","0","13","true"
"85","13113","42.5","true","85","-4318.399999999994","24","true","85","-6719.999999999993","53","true","85","-2538","32","true","85","0","13","true"
"86","16434","42.5","true","86","12226.000000000007","24","true","86","-23411.999999999993","53","true","86","13518","32","true","86","0","13","true"
"87","5856","42.5","true","87","-8262.719999999994","24","true","87","-25691.999999999993","53","true","87","31772.000000000007","32","true","87","0","13","true"
"88","16434","42.5","true","88","11696.000000000007","24","true","88","-23411.999999999993","53","true","88","12210","32","true","88","0","13","true"
"89","16434","42.5","true","89","2474.0000000000146","24","true","89","-23411.999999999993","53","true","89","76084","32","true","89","0","13","true"
"""Crop Groundwater Irrigation"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","36.3","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","14","42.5","true","1","7","24","true","1","18","53","true","1","15","32","true"
"2","9","42.5","true","2","9","24","true","2","18","53","true","2","13","32","true"
"3","18","42.5","true","3","18","24","true","3","27","53","true","3","12","32","true"
"4","23","42.5","true","4","12","24","true","4","33","53","true","4","14","32","true"
"5","24","42.5","true","5","18","24","true","5","32","53","true","5","16","32","true"
"6","18","42.5","true","6","15","24","true","6","23","53","true","6","14","32","true"
"7","13","42.5","true","7","10","24","true","7","16","53","true","7","9","32","true"
"8","7","42.5","true","8","12","24","true","8","12","53","true","8","7","32","true"
"9","4","42.5","true","9","12","24","true","9","14","53","true","9","8","32","true"
"10","14","42.5","true","10","12","24","true","10","18","53","true","10","17","32","true"
"11","14","42.5","true","11","7","24","true","11","18","53","true","11","15","32","true"
"12","7","42.5","true","12","12","24","true","12","12","53","true","12","7","32","true"
"13","7","42.5","true","13","12","24","true","13","12","53","true","13","7","32","true"
"14","13","42.5","true","14","10","24","true","14","16","53","true","14","9","32","true"
"15","14","42.5","true","15","12","24","true","15","18","53","true","15","17","32","true"
"16","7","42.5","true","16","12","24","true","16","12","53","true","16","7","32","true"
"17","4","42.5","true","17","12","24","true","17","14","53","true","17","8","32","true"
"18","7","42.5","true","18","12","24","true","18","12","53","true","18","7","32","true"
"19","7","42.5","true","19","12","24","true","19","12","53","true","19","7","32","true"
"20","14","42.5","true","20","7","24","true","20","18","53","true","20","15","32","true"
"21","14","42.5","true","21","7","24","true","21","18","53","true","21","15","32","true"
"22","7","42.5","true","22","12","24","true","22","12","53","true","22","7","32","true"
"23","7","42.5","true","23","12","24","true","23","12","53","true","23","7","32","true"
"24","13","42.5","true","24","10","24","true","24","16","53","true","24","9","32","true"
"25","14","42.5","true","25","12","24","true","25","18","53","true","25","17","32","true"
"26","7","42.5","true","26","12","24","true","26","12","53","true","26","7","32","true"
"27","14","42.5","true","27","7","24","true","27","18","53","true","27","15","32","true"
"28","4","42.5","true","28","12","24","true","28","14","53","true","28","8","32","true"
"29","7","42.5","true","29","12","24","true","29","12","53","true","29","7","32","true"
"30","7","42.5","true","30","12","24","true","30","12","53","true","30","7","32","true"
"31","7","42.5","true","31","12","24","true","31","12","53","true","31","7","32","true"
"32","14","42.5","true","32","7","24","true","32","18","53","true","32","15","32","true"
"33","14","42.5","true","33","7","24","true","33","18","53","true","33","15","32","true"
"34","13","42.5","true","34","10","24","true","34","16","53","true","34","9","32","true"
"35","7","42.5","true","35","12","24","true","35","12","53","true","35","7","32","true"
"36","7","42.5","true","36","12","24","true","36","12","53","true","36","7","32","true"
"37","14","42.5","true","37","12","24","true","37","18","53","true","37","17","32","true"
"38","7","42.5","true","38","12","24","true","38","12","53","true","38","7","32","true"
"39","4","42.5","true","39","12","24","true","39","14","53","true","39","8","32","true"
"40","7","42.5","true","40","12","24","true","40","12","53","true","40","7","32","true"
"41","4","42.5","true","41","12","24","true","41","14","53","true","41","8","32","true"
"42","7","42.5","true","42","12","24","true","42","12","53","true","42","7","32","true"
"43","7","42.5","true","43","12","24","true","43","12","53","true","43","7","32","true"
"44","7","42.5","true","44","12","24","true","44","12","53","true","44","7","32","true"
"45","14","42.5","true","45","12","24","true","45","18","53","true","45","17","32","true"
"46","7","42.5","true","46","12","24","true","46","12","53","true","46","7","32","true"
"47","14","42.5","true","47","7","24","true","47","18","53","true","47","15","32","true"
"48","14","42.5","true","48","7","24","true","48","18","53","true","48","15","32","true"
"49","7","42.5","true","49","12","24","true","49","12","53","true","49","7","32","true"
"50","13","42.5","true","50","10","24","true","50","16","53","true","50","9","32","true"
"51","7","42.5","true","51","12","24","true","51","12","53","true","51","7","32","true"
"52","14","42.5","true","52","12","24","true","52","18","53","true","52","17","32","true"
"53","13","42.5","true","53","10","24","true","53","16","53","true","53","9","32","true"
"54","7","42.5","true","54","12","24","true","54","12","53","true","54","7","32","true"
"55","7","42.5","true","55","12","24","true","55","12","53","true","55","7","32","true"
"56","7","42.5","true","56","12","24","true","56","12","53","true","56","7","32","true"
"57","14","42.5","true","57","7","24","true","57","18","53","true","57","15","32","true"
"58","4","42.5","true","58","12","24","true","58","14","53","true","58","8","32","true"
"59","7","42.5","true","59","12","24","true","59","12","53","true","59","7","32","true"
"60","14","42.5","true","60","7","24","true","60","18","53","true","60","15","32","true"
"61","14","42.5","true","61","7","24","true","61","18","53","true","61","15","32","true"
"62","7","42.5","true","62","12","24","true","62","12","53","true","62","7","32","true"
"63","13","42.5","true","63","10","24","true","63","16","53","true","63","9","32","true"
"64","14","42.5","true","64","12","24","true","64","18","53","true","64","17","32","true"
"65","7","42.5","true","65","12","24","true","65","12","53","true","65","7","32","true"
"66","7","42.5","true","66","12","24","true","66","12","53","true","66","7","32","true"
"67","7","42.5","true","67","12","24","true","67","12","53","true","67","7","32","true"
"68","7","42.5","true","68","12","24","true","68","12","53","true","68","7","32","true"
"69","14","42.5","true","69","7","24","true","69","18","53","true","69","15","32","true"
"70","0","42.5","true","70","0","24","true","70","0","53","true","70","0","32","true"
"71","0","42.5","true","71","0","24","true","71","0","53","true","71","0","32","true"
"72","0","42.5","true","72","0","24","true","72","0","53","true","72","0","32","true"
"73","0","42.5","true","73","0","24","true","73","0","53","true","73","0","32","true"
"74","0","42.5","true","74","0","24","true","74","0","53","true","74","0","32","true"
"75","0","42.5","true","75","0","24","true","75","0","53","true","75","0","32","true"
"76","0","42.5","true","76","0","24","true","76","0","53","true","76","0","32","true"
"77","0","42.5","true","77","0","24","true","77","0","53","true","77","0","32","true"
"78","0","42.5","true","78","0","24","true","78","0","53","true","78","0","32","true"
"79","0","42.5","true","79","0","24","true","79","0","53","true","79","0","32","true"
"80","0","42.5","true","80","0","24","true","80","0","53","true","80","0","32","true"
"81","0","42.5","true","81","0","24","true","81","0","53","true","81","0","32","true"
"82","0","42.5","true","82","0","24","true","82","0","53","true","82","0","32","true"
"83","0","42.5","true","83","0","24","true","83","0","53","true","83","0","32","true"
"84","0","42.5","true","84","0","24","true","84","0","53","true","84","0","32","true"
"85","0","42.5","true","85","0","24","true","85","0","53","true","85","0","32","true"
"86","0","42.5","true","86","0","24","true","86","0","53","true","86","0","32","true"
"87","0","42.5","true","87","0","24","true","87","0","53","true","87","0","32","true"
"88","0","42.5","true","88","0","24","true","88","0","53","true","88","0","32","true"
"89","0","42.5","true","89","0","24","true","89","0","53","true","89","0","32","true"
"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","92","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","93","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","97","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","90","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","93","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","91","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","96","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","95","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","96","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","97","53","true","10","134","32","true"
"11","213","42.5","true","11","77","24","true","11","92","53","true","11","119","32","true"
"12","233","42.5","true","12","75","24","true","12","95","53","true","12","129","32","true"
"13","233","42.5","true","13","75","24","true","13","95","53","true","13","129","32","true"
"14","207","42.5","true","14","79","24","true","14","96","53","true","14","121","32","true"
"15","223","42.5","true","15","74","24","true","15","97","53","true","15","134","32","true"
"16","233","42.5","true","16","75","24","true","16","95","53","true","16","129","32","true"
"17","233","42.5","true","17","69","24","true","17","96","53","true","17","113","32","true"
"18","233","42.5","true","18","75","24","true","18","95","53","true","18","129","32","true"
"19","233","42.5","true","19","75","24","true","19","95","53","true","19","129","32","true"
"20","213","42.5","true","20","77","24","true","20","92","53","true","20","119","32","true"
"21","213","42.5","true","21","77","24","true","21","92","53","true","21","119","32","true"
"22","233","42.5","true","22","75","24","true","22","95","53","true","22","129","32","true"
"23","233","42.5","true","23","75","24","true","23","95","53","true","23","129","32","true"
"24","207","42.5","true","24","79","24","true","24","96","53","true","24","121","32","true"
"25","223","42.5","true","25","74","24","true","25","97","53","true","25","134","32","true"
"26","233","42.5","true","26","75","24","true","26","95","53","true","26","129","32","true"
"27","213","42.5","true","27","77","24","true","27","92","53","true","27","119","32","true"
"28","233","42.5","true","28","69","24","true","28","96","53","true","28","113","32","true"
"29","233","42.5","true","29","75","24","true","29","95","53","true","29","129","32","true"
"30","233","42.5","true","30","75","24","true","30","95","53","true","30","129","32","true"
"31","233","42.5","true","31","75","24","true","31","95","53","true","31","129","32","true"
