"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:42:13:030 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","150","1100","1","30","4","1","90","""Repeat Historical""","200","0.03","200","6","2","30","200","25","8","1350","200","42","1","30","0.03"

"""Crop Groundwater Irrigation"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","36.3","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","14","42.5","true","1","7","24","true","1","18","53","true","1","15","32","true"
"2","9","42.5","true","2","9","24","true","2","18","53","true","2","13","32","true"
"3","18","42.5","true","3","18","24","true","3","27","53","true","3","12","32","true"
"4","23","42.5","true","4","12","24","true","4","33","53","true","4","14","32","true"
"5","24","42.5","true","5","18","24","true","5","32","53","true","5","16","32","true"
"6","18","42.5","true","6","15","24","true","6","23","53","true","6","14","32","true"
"7","13","42.5","true","7","10","24","true","7","16","53","true","7","9","32","true"
"8","7","42.5","true","8","12","24","true","8","12","53","true","8","7","32","true"
"9","4","42.5","true","9","12","24","true","9","14","53","true","9","8","32","true"
"10","14","42.5","true","10","12","24","true","10","18","53","true","10","17","32","true"
"11","14","42.5","true","11","7","24","true","11","18","53","true","11","15","32","true"
"12","9","42.5","true","12","9","24","true","12","18","53","true","12","13","32","true"
"13","18","42.5","true","13","18","24","true","13","27","53","true","13","12","32","true"
"14","23","42.5","true","14","12","24","true","14","33","53","true","14","14","32","true"
"15","24","42.5","true","15","18","24","true","15","32","53","true","15","16","32","true"
"16","18","42.5","true","16","15","24","true","16","23","53","true","16","14","32","true"
"17","13","42.5","true","17","10","24","true","17","16","53","true","17","9","32","true"
"18","7","42.5","true","18","12","24","true","18","12","53","true","18","7","32","true"
"19","4","42.5","true","19","12","24","true","19","14","53","true","19","8","32","true"
"20","14","42.5","true","20","12","24","true","20","18","53","true","20","17","32","true"
"21","14","42.5","true","21","7","24","true","21","18","53","true","21","15","32","true"
